Cidades,tx_distorcao_medio,tx_distorcao_fundamental,Media_Enem,taxa_escolas_por_habitante,ideb_ano_final,ideb_ensino_medio,ideb_ano_inicial,populacao,Idade,Total_alfabetização,Taxa aprovados fundamental total ,Taxa aprovados total EM,Taxa de abandonos EF,Taxa de abandonos EM,Dependencia,Localizacao
Brejo do Piauí,44.7,22.4,,0.2561475409836066,4.9,3.8,5.4,3904.0,Total,74.17,99.4,99.3,0.0,0.7,Pública,Total
Buriti dos Lopes,39.7,17.0,477.9964492753623,0.559682507377633,4.9,4.1,5.5,19654.0,Total,76.54,98.6,93.6,0.5,6.2,Pública,Total
Buriti dos Montes,20.5,3.3,,0.8071025020177562,6.5,4.1,7.3,7434.0,Total,76.57,100.0,97.4,0.0,2.6,Pública,Total
Cabeceiras do Piauí,23.7,4.7,,0.4896200548374462,4.8,3.9,5.7,10212.0,Total,73.21,99.7,96.5,0.0,2.3,Pública,Total
Cajazeiras do Piauí,28.9,13.1,,0.6435006435006435,4.3,3.7,4.9,3108.0,Total,80.96,100.0,95.8,0.0,4.2,Pública,Total
Cajueiro da Praia,32.9,18.8,,0.628377529219555,5.4,4.9,6.4,7957.0,Total,80.86,100.0,99.2,0.0,0.0,Pública,Total
Caldeirão Grande do Piauí,7.1,3.8,,0.7268762493185535,5.9,4.1,7.2,5503.0,Total,74.03,100.0,94.2,0.0,5.8,Pública,Total
Campinas do Piauí,35.8,20.1,,0.8100445524503848,4.3,3.9,5.5,4938.0,Total,77.4,92.7,99.1,1.0,0.0,Pública,Total
Campo Alegre do Fidalgo,43.8,32.8,,0.6499133448873484,3.4,3.8,4.4,4616.0,Total,69.65,86.2,98.1,1.5,1.9,Pública,Total
Campo Grande do Piauí,12.8,4.1,,0.4983388704318936,5.0,3.5,7.0,6020.0,Total,74.45,100.0,87.8,0.0,0.0,Pública,Total
Campo Largo do Piauí,32.1,19.2,,0.8087343307723412,3.7,3.9,4.0,7419.0,Total,71.8,98.3,98.9,0.8,0.7,Pública,Total
Campo Maior,23.7,8.5,497.1493280632411,0.5240975694975215,5.4,4.5,6.1,45793.0,Total,84.11,99.7,97.9,0.2,0.8,Pública,Total
Canavieira,49.6,19.5,,0.5858230814294083,5.0,4.3,4.9,3414.0,Total,79.53,96.0,100.0,0.2,0.0,Pública,Total
Canto do Buriti,27.5,20.0,473.564129784689,0.4131164471985541,4.5,4.5,4.4,19365.0,Total,78.63,94.3,96.4,1.2,2.9,Pública,Total
Capitão Gervásio Oliveira,33.1,17.7,,0.5032712632108707,4.4,4.3,5.4,3974.0,Total,76.49,98.3,95.9,0.2,2.9,Pública,Total
Capitão de Campos,23.3,12.4,,0.45045045045045046,3.9,3.1,5.3,11100.0,Total,77.06,96.2,80.4,0.7,15.9,Pública,Total
Caracol,38.4,43.4,,0.3876720294630742,3.6,4.155348837209303,3.5,10318.0,Total,70.49,84.2,95.1,5.6,3.9,Pública,Total
Caraúbas do Piauí,43.6,18.5,,0.5328596802841918,3.2,4.2,5.5,5630.0,Total,68.74,86.4,95.1,2.4,4.9,Pública,Total
Caridade do Piauí,29.9,13.4,,0.5960659646334194,5.2,4.2,5.8,5033.0,Total,75.15,98.9,97.2,0.4,2.8,Pública,Total
Castelo do Piauí,16.2,8.5,496.18019716885743,0.6221484861053506,5.3,4.9,6.7,19288.0,Total,76.96,96.4,99.9,0.0,0.1,Pública,Total
Caxingó,40.0,21.4,,0.727802037845706,3.8,4.1,3.8,5496.0,Total,70.4,88.8,94.6,2.3,5.4,Pública,Total
Cocal,31.9,17.3,,0.49624273358854387,5.6,4.6,6.5,28212.0,Total,73.29,97.9,93.9,0.1,3.6,Pública,Total
Cocal de Telha,29.9,14.3,,0.20362451639177356,5.3,4.6,5.3,4911.0,Total,75.37,96.4,99.1,0.0,0.9,Pública,Total
Cocal dos Alves,17.8,6.5,,0.6263701847792046,6.4,7.0,7.8,6386.0,Total,69.24,99.8,100.0,0.2,0.0,Pública,Total
Coivaras,41.0,14.8,,0.7286859363614282,4.8,3.8,5.7,4117.0,Total,77.95,97.6,100.0,1.0,0.0,Pública,Total
Colônia do Gurguéia,30.6,17.9,,0.6504065040650406,4.3,4.7,4.5,6150.0,Total,83.69,90.3,96.3,1.6,1.8,Pública,Total
Colônia do Piauí,16.0,4.6,,0.8578781812982557,4.5,4.1,6.1,6994.0,Total,74.89,99.3,100.0,0.0,0.0,Pública,Total
Conceição do Canindé,35.1,14.3,,0.6082725060827251,4.9,3.9,4.9,4932.0,Total,77.35,92.2,98.0,0.0,2.0,Pública,Total
Coronel José Dias,36.4,12.5,,0.47058823529411764,3.9,4.0,5.5,4250.0,Total,75.22,91.8,97.1,0.3,2.9,Pública,Total
Corrente,38.6,20.5,458.8121810786171,0.6598724246645649,3.7,3.9,4.5,27278.0,Total,86.72,95.0,96.4,1.7,1.6,Pública,Total
Cristalândia do Piauí,44.3,21.1,,0.6797172376291464,4.3,3.4,4.7,7356.0,Total,79.27,97.3,95.4,1.1,4.6,Pública,Total
Cristino Castro,51.7,29.3,,0.6664762448824145,3.3,4.0,4.2,10503.0,Total,82.02,77.2,95.2,2.6,0.0,Pública,Total
Curimatá,32.6,12.4,,0.709849157054126,5.1,4.1,5.5,11270.0,Total,87.41,99.1,98.0,0.7,2.0,Pública,Total
Currais,42.5,28.4,,0.8240626287597858,4.0,3.6,5.2,4854.0,Total,79.39,91.3,100.0,1.8,0.0,Pública,Total
Curral Novo do Piauí,23.9,15.2,,0.3942440370589395,5.0,4.3,5.7,5073.0,Total,73.78,99.0,98.0,0.9,2.0,Pública,Total
Curralinhos,45.0,16.9,,0.45320643553138457,4.3,3.7,4.8,4413.0,Total,78.62,99.0,97.6,0.7,2.4,Pública,Total
Demerval Lobão,26.0,8.1,,0.4892367906066536,5.6,3.9,7.4,16352.0,Total,85.44,100.0,94.9,0.0,3.4,Pública,Total
Dirceu Arcoverde,29.0,30.8,,0.5670541536716757,4.7,4.2,4.2,7054.0,Total,76.19,96.4,95.0,1.5,4.3,Pública,Total
Dom Expedito Lopes,25.6,8.4,,0.6329113924050633,5.3,4.155348837209303,6.2,6320.0,Total,81.03,99.7,93.8,0.0,1.1,Pública,Total
Dom Inocêncio,32.2,11.8,,0.5459111256687411,4.9,3.8,5.5,9159.0,Total,80.71,100.0,99.3,0.0,0.0,Pública,Total
Domingos Mourão,19.9,5.5,,0.98159509202454,6.1,4.5,8.4,4075.0,Total,76.45,100.0,100.0,0.0,0.0,Pública,Total
Elesbão Veloso,29.6,18.8,,0.44094951128095833,5.2,4.2,5.8,13607.0,Total,75.14,98.2,100.0,0.3,0.0,Pública,Total
Eliseu Martins,33.3,20.3,,0.4569339730408956,4.9,4.4,5.3,4377.0,Total,80.56,97.6,99.3,0.2,0.7,Pública,Total
Esperantina,28.7,17.0,486.21171717171717,0.48816206980717597,4.8,4.3,6.1,40970.0,Total,78.04,98.9,97.6,0.5,2.4,Pública,Total
Fartura do Piauí,40.4,25.8,,0.5677517032551098,4.0,3.7,4.8,5284.0,Total,74.23,89.4,94.7,4.8,2.2,Pública,Total
Flores do Piauí,34.4,23.1,,0.9062075215224287,4.4,3.7,4.8,4414.0,Total,74.15,86.3,88.1,1.7,0.8,Pública,Total
Floresta do Piauí,35.4,11.0,,0.4286326618088298,5.5,4.8,5.9,2333.0,Total,65.32,100.0,97.8,0.0,2.2,Pública,Total
Floriano,24.0,15.1,494.24749760912323,0.4191114836546521,5.4,4.3,5.9,62036.0,Total,89.8,95.2,93.0,0.5,0.8,Pública,Total
Francinópolis,27.6,11.4,,0.8879023307436182,4.7,4.4,6.5,4505.0,Total,70.96,97.8,97.8,0.0,2.2,Pública,Total
Francisco Ayres,22.2,19.2,,0.6799637352674524,4.2,4.6,4.1,4412.0,Total,73.82,91.1,98.6,1.2,0.7,Pública,Total
Francisco Macedo,30.1,11.4,,0.3414134516899966,4.7,4.2,5.3,2929.0,Total,72.66,100.0,96.3,0.0,3.7,Pública,Total
Francisco Santos,19.7,15.2,,0.6070171178827243,5.3,4.7,5.5,8237.0,Total,77.49,96.1,95.6,1.6,2.2,Pública,Total
Fronteiras,31.3,10.0,,0.29242616239399555,4.7,4.3,7.0,10259.0,Total,76.33,96.6,93.7,0.3,5.4,Pública,Total
Geminiano,27.5,15.4,,0.18365472910927455,4.4,4.2,5.2,5445.0,Total,73.37,98.2,93.0,0.8,2.3,Pública,Total
Gilbués,42.3,37.2,,0.45905251560778554,3.7,4.0,3.7,10892.0,Total,82.65,87.6,94.3,8.6,3.6,Pública,Total
Guadalupe,43.3,13.8,,0.48685491723466406,4.2,4.2,4.6,10270.0,Total,86.56,92.7,96.9,0.3,0.0,Pública,Total
Guaribas,26.8,23.2,,0.9354536950420954,3.6,3.3,4.6,4276.0,Total,73.39,99.3,100.0,0.6,0.0,Pública,Total
Hugo Napoleão,14.9,8.7,,0.8527572484366117,5.0,4.2,5.1,3518.0,Total,74.28,99.8,97.2,0.0,2.8,Pública,Total
Ilha Grande,36.7,27.0,,0.6469700237222342,4.6,4.1,4.5,9274.0,Total,80.17,96.3,100.0,0.5,0.0,Pública,Total
Inhuma,22.0,6.6,,0.6685385746757588,5.2,4.4,5.5,14958.0,Total,76.73,100.0,99.8,0.0,0.2,Pública,Total
Ipiranga do Piauí,15.1,7.1,,0.9554140127388535,5.3,3.2,6.5,9420.0,Total,81.87,99.9,80.8,0.0,5.1,Pública,Total
Isaías Coelho,32.8,12.3,,0.3859017236943658,4.7,3.9,5.6,7774.0,Total,72.33,98.8,100.0,0.1,0.0,Pública,Total
Itainópolis,31.7,10.6,,0.5560704355885079,5.3,4.1,6.5,10790.0,Total,71.56,98.8,98.7,0.0,1.0,Pública,Total
Itaueira,20.1,19.1,,0.2906131938390003,4.0,4.4,5.1,10323.0,Total,78.78,94.0,92.5,5.0,2.3,Pública,Total
Jacobina do Piauí,36.3,18.2,,0.7126313914127917,5.0,4.4,6.1,5613.0,Total,71.82,98.5,100.0,0.0,0.0,Pública,Total
Jaicós,40.2,12.2,,0.5705482969133336,5.2,4.1,5.8,17527.0,Total,68.92,97.8,91.7,0.0,4.7,Pública,Total
Jardim do Mulato,38.8,22.3,,1.1961722488038278,4.8,3.9,5.2,4180.0,Total,72.7,97.7,98.3,1.7,1.7,Pública,Total
Jatobá do Piauí,27.9,9.9,,0.4450378282153983,4.9,4.2,4.5,4494.0,Total,76.04,100.0,100.0,0.0,0.0,Pública,Total
Jerumenha,32.5,33.0,,0.88948187680676,4.660454545454545,4.3,4.5,4497.0,Total,80.84,93.1,98.8,1.8,0.0,Pública,Total
Joaquim Pires,22.9,14.8,,0.43208987469393634,5.2,4.3,6.1,13886.0,Total,73.31,97.7,96.8,0.1,3.2,Pública,Total
Joca Marques,21.8,20.0,,0.3707823507601038,4.0,4.1,5.2,5394.0,Total,69.18,94.2,100.0,2.3,0.0,Pública,Total
José de Freitas,29.3,15.7,488.8881758896963,0.5169294391315585,4.1,4.0,4.9,42559.0,Total,81.1,96.6,95.4,0.7,1.9,Pública,Total
João Costa,50.4,15.4,,0.3367003367003367,3.4,3.6,3.7,2970.0,Total,77.11,92.7,99.2,0.8,0.8,Pública,Total
Juazeiro do Piauí,18.0,16.3,,0.9589566551591868,4.6,4.7,6.0,5214.0,Total,77.51,91.8,99.6,0.0,0.4,Pública,Total
Jurema,47.7,32.6,,0.6779661016949153,4.2,3.8,4.2,4425.0,Total,71.9,97.5,94.3,1.0,3.6,Pública,Total
Júlio Borges,34.3,16.4,,0.7423904974016332,3.7,3.6,6.2,5388.0,Total,86.6,96.3,94.9,1.5,5.1,Pública,Total
Lagoa Alegre,32.8,10.4,,0.4844961240310077,4.9,3.4,5.2,8256.0,Total,77.46,99.7,90.2,0.3,9.6,Pública,Total
Lagoa de São Francisco,32.4,16.9,,1.105670510187964,4.9,4.6,5.8,6331.0,Total,75.88,98.2,94.5,0.3,5.5,Pública,Total
Lagoa do Barro do Piauí,29.2,15.5,,0.6006006006006006,4.4,4.8,5.3,4995.0,Total,78.92,92.5,98.1,0.3,1.9,Pública,Total
Lagoa do Piauí,51.7,29.9,,0.2079002079002079,4.1,3.9,3.9,4810.0,Total,82.26,84.4,98.8,0.0,1.2,Pública,Total
Lagoa do Sítio,32.5,13.7,,0.6637168141592921,4.3,4.0,4.5,4520.0,Total,69.09,99.7,99.4,0.3,0.6,Pública,Total
Lagoinha do Piauí,22.5,15.1,,0.3402517863218782,5.0,4.9,5.4,2939.0,Total,79.92,94.3,100.0,1.1,0.0,Pública,Total
Landri Sales,18.4,12.7,,0.3836562440053712,5.9,4.7,6.3,5213.0,Total,83.09,98.7,98.9,1.1,1.1,Pública,Total
Luzilândia,35.1,26.5,481.5691370106761,0.5123152709359605,3.9,4.4,4.5,25375.0,Total,74.29,88.5,98.5,3.6,1.4,Pública,Total
Luís Correia,34.3,28.5,,0.29372409516660686,4.5,4.5,4.7,30641.0,Total,77.58,93.1,98.5,1.1,1.5,Pública,Total
Madeiro,20.8,6.6,,0.7470119521912351,4.0,4.0,4.7,8032.0,Total,74.32,98.1,99.2,0.4,0.8,Pública,Total
Manoel Emídio,33.5,17.9,,0.5759262814359762,4.6,4.1,5.9,5209.0,Total,80.57,99.0,100.0,0.6,0.0,Pública,Total
Marcolândia,15.8,11.6,,0.5859603890776984,4.8,4.3,5.1,8533.0,Total,77.05,100.0,99.7,0.0,0.3,Pública,Total
Marcos Parente,22.2,14.7,,0.6350550381033022,5.2,4.7,5.1,4724.0,Total,82.69,95.4,99.4,1.5,0.6,Pública,Total
Massapê do Piauí,34.8,25.2,,0.5749329244921426,4.660454545454545,4.6,5.1,5218.0,Total,65.7,91.4,100.0,1.0,0.0,Pública,Total
Matias Olímpio,24.9,18.2,,0.5638567803777841,3.9,3.8,4.8,10641.0,Total,74.13,94.4,92.3,1.0,7.0,Pública,Total
Miguel Alves,46.6,26.5,484.38416103603606,0.5287713841368584,3.2,3.5,3.8,32150.0,Total,70.57,85.0,96.6,0.4,1.9,Pública,Total
Miguel Leão,25.0,10.7,,0.7587253414264037,4.2,3.4,4.2,1318.0,Total,79.21,85.5,84.6,1.6,0.0,Pública,Total
Milton Brandão,51.7,24.3,,0.6114338122898196,4.6,3.6,4.5,6542.0,Total,69.89,95.9,91.9,0.6,6.6,Pública,Total
Monsenhor Gil,34.6,18.3,482.7577713694173,0.4875670404680643,3.9,4.7,4.7,10255.0,Total,81.93,88.4,97.4,0.8,1.5,Pública,Total
Monsenhor Hipólito,29.0,13.4,,0.5279134221987595,4.9,4.6,6.4,7577.0,Total,73.13,99.9,95.4,0.1,0.0,Pública,Total
Monte Alegre do Piauí,45.2,19.5,,0.7504690431519699,3.7,3.5,4.1,10660.0,Total,80.93,90.8,98.9,1.0,1.1,Pública,Total
Morro Cabeça no Tempo,21.8,18.7,,0.4569339730408956,3.9,3.4,3.9,4377.0,Total,80.78,94.4,97.2,2.6,0.7,Pública,Total
Morro do Chapéu do Piauí,31.7,20.0,,0.7782101167315175,4.5,4.4,4.8,6425.0,Total,72.26,89.2,94.6,0.9,5.4,Pública,Total
Murici dos Portelas,45.2,29.2,,0.30621618862917216,3.3,4.2,5.1,9797.0,Total,69.75,80.7,93.6,5.0,4.6,Pública,Total
Nazaré do Piauí,25.4,15.4,,0.900225056264066,4.4,3.9,5.6,6665.0,Total,76.21,98.9,97.0,0.4,3.0,Pública,Total
Nazária,28.7,14.3,,0.19489378288832584,4.660454545454545,3.9,5.8,10262.0,Total,76.42,94.5,96.5,0.8,3.5,Pública,Total
Nossa Senhora de Nazaré,26.1,15.7,,0.5738332058148432,4.4,4.5,5.6,5228.0,Total,77.85,99.7,100.0,0.3,0.0,Pública,Total
Nossa Senhora dos Remédios,37.7,28.7,,1.0557184750733137,4.5,4.2,5.1,8525.0,Total,73.19,96.0,97.0,2.0,3.0,Pública,Total
Nova Santa Rita,32.3,15.0,,0.4906771344455348,3.9,3.9,4.1,4076.0,Total,77.28,96.6,97.5,0.7,2.5,Pública,Total
Novo Oriente do Piauí,38.8,26.3,,0.6560603575528948,4.0,4.3,5.413063063063064,6097.0,Total,74.93,93.5,97.9,1.4,2.1,Pública,Total
Novo Santo Antônio,33.9,16.4,,0.7074637424831978,5.0,4.7,5.1,2827.0,Total,70.86,97.4,100.0,0.0,0.0,Pública,Total
Oeiras,25.3,6.5,488.18839238779645,0.471685752469799,5.9,4.6,7.1,38161.0,Total,82.67,99.8,96.5,0.0,1.4,Pública,Total
Olho D'Água do Piauí,12.9,7.4,,0.37921880925293894,4.6,4.2,6.4,2637.0,Total,77.92,99.7,100.0,0.3,0.0,Pública,Total
Padre Marcos,22.9,0.2,,0.6267627702914447,4.7,3.8,6.6,6382.0,Total,65.99,99.6,98.5,0.0,1.5,Pública,Total
Paes Landim,39.4,21.7,,0.7338551859099804,4.8,4.4,6.0,4088.0,Total,80.42,93.6,95.3,1.2,4.7,Pública,Total
Pajeú do Piauí,3.8,2.6,,0.6666666666666666,5.6,4.5,6.4,3000.0,Total,76.64,100.0,100.0,0.0,0.0,Pública,Total
Palmeira do Piauí,27.9,28.3,,1.2116316639741518,5.1,4.155348837209303,6.3,4952.0,Total,80.74,98.8,92.1,0.0,7.9,Pública,Total
Palmeirais,40.2,22.6,,0.6031363088057901,3.9,3.8,3.9,13264.0,Total,75.8,96.4,98.3,0.0,1.5,Pública,Total
Paquetá,41.4,30.4,,0.5245213742460005,4.1,3.2,4.7,3813.0,Total,65.72,96.8,95.8,1.6,4.2,Pública,Total
Parnaguá,48.3,28.4,,0.4949025042066713,4.5,3.4,6.2,10103.0,Total,82.97,91.8,96.2,1.9,1.7,Pública,Total
Parnaíba,33.2,25.2,516.2753119539894,0.17883682065133605,5.2,4.8,5.5,162159.0,Total,88.26,96.3,98.0,0.8,2.0,Pública,Total
Passagem Franca do Piauí,38.0,21.4,,0.7255139056831923,3.9,4.155348837209303,4.6,4135.0,Total,74.49,93.9,98.0,1.7,2.0,Pública,Total
Patos do Piauí,25.2,14.1,,0.3686635944700461,5.0,4.1,5.6,5425.0,Total,69.53,100.0,99.5,0.0,0.5,Pública,Total
Pau D'Arco do Piauí,61.2,23.7,,0.5154639175257733,5.8,4.155348837209303,5.413063063063064,3880.0,Total,74.21,100.0,93.2,0.0,0.0,Pública,Total
Paulistana,46.1,18.4,494.0997412417621,0.6649251959154595,4.5,3.9,5.2,21055.0,Total,77.19,92.4,94.3,0.2,4.4,Pública,Total
Pavussu,20.7,21.5,,0.5512679162072768,4.0,3.5,4.2,3628.0,Total,71.07,91.7,100.0,1.7,0.0,Pública,Total
Pedro II,29.2,16.7,503.6262407121312,0.5541774423391567,4.8,4.1,5.0,37894.0,Total,75.19,99.0,94.2,0.3,5.0,Pública,Total
Pedro Laurentino,20.0,16.6,,0.8136696501220504,4.1,3.9,5.3,2458.0,Total,80.25,90.3,99.0,2.4,1.0,Pública,Total
Picos,21.5,17.0,509.08688923984766,0.44530027680828016,4.8,4.3,5.1,83090.0,Total,86.29,94.8,97.3,2.0,2.0,Pública,Total
Pimenteiras,35.9,18.7,,0.6172295212062429,4.1,3.7,4.4,11341.0,Total,72.13,94.7,92.8,0.2,0.8,Pública,Total
Pio IX,19.3,6.5,497.96070157068067,0.4542099585533413,4.8,4.1,5.3,17613.0,Total,75.22,99.1,93.1,0.8,6.9,Pública,Total
Piracuruca,14.0,5.7,505.62471569703627,0.27733481245233305,5.6,4.7,7.0,28846.0,Total,76.74,100.0,99.5,0.0,0.1,Pública,Total
Piripiri,21.8,12.6,507.02148627654066,0.5340413195398089,5.1,4.4,5.8,65538.0,Total,80.82,96.5,97.0,0.2,2.2,Pública,Total
Porto,39.2,14.7,,0.414868901427149,4.6,3.9,5.3,12052.0,Total,74.64,99.5,97.5,0.0,2.5,Pública,Total
Porto Alegre do Piauí,23.1,12.8,,0.8460236886632826,4.8,4.155348837209303,5.3,2364.0,Total,79.51,99.7,92.1,0.3,0.0,Pública,Total
Prata do Piauí,28.8,18.4,,0.3287310979618672,5.1,3.8,5.1,3042.0,Total,73.84,95.0,95.6,1.3,3.8,Pública,Total
Queimada Nova,26.2,15.2,,0.45777065690089264,4.1,4.2,5.8,8738.0,Total,79.28,95.8,92.6,0.7,7.4,Pública,Total
Redenção do Gurguéia,37.2,25.5,,0.7147962830593281,3.7,3.7,4.8,8394.0,Total,82.07,93.6,89.5,2.2,0.7,Pública,Total
Regeneração,42.2,15.7,477.52269203959287,0.7004027315706531,4.0,3.8,4.4,17133.0,Total,74.82,92.9,91.0,0.8,8.7,Pública,Total
Riacho Frio,50.3,25.9,,0.48019207683073234,3.9,4.0,4.6,4165.0,Total,83.49,92.4,99.4,1.5,0.6,Pública,Total
Ribeira do Piauí,32.4,12.2,,0.7398273736128237,4.7,4.0,5.0,4055.0,Total,72.86,97.0,98.9,0.9,1.1,Pública,Total
Ribeiro Gonçalves,22.7,9.8,,0.6489292667099286,4.5,4.1,6.4,6164.0,Total,83.29,98.1,98.0,0.8,0.8,Pública,Total
Rio Grande do Piauí,38.1,23.1,,0.5171522151353215,5.1,3.9,5.8,5801.0,Total,77.87,100.0,94.0,0.0,6.0,Pública,Total
Santa Cruz do Piauí,34.3,10.7,,0.34299434059338024,4.3,3.9,5.2,5831.0,Total,76.11,98.8,96.9,0.3,0.9,Pública,Total
Santa Cruz dos Milagres,28.9,12.3,,0.5822416302765648,3.6,4.1,5.5,3435.0,Total,76.77,89.5,93.2,1.0,6.8,Pública,Total
Santa Filomena,22.0,16.6,,0.8214227041235419,5.2,4.1,5.0,6087.0,Total,82.18,96.6,98.8,0.7,1.2,Pública,Total
Santa Luz,22.2,21.5,,0.7496251874062968,4.5,3.9,4.9,5336.0,Total,81.73,94.4,100.0,3.0,0.0,Pública,Total
Santa Rosa do Piauí,26.7,9.4,,0.6451612903225806,4.660454545454545,4.0,6.6,4650.0,Total,76.17,94.8,94.3,0.2,5.7,Pública,Total
Santana do Piauí,24.1,8.9,,0.48484848484848486,5.1,4.155348837209303,5.9,4125.0,Total,73.25,97.3,97.2,1.1,2.8,Pública,Total
Santo Antônio de Lisboa,38.0,18.9,,0.3425244048638465,4.5,4.1,4.8,5839.0,Total,78.85,97.1,96.3,1.2,1.2,Pública,Total
Santo Antônio dos Milagres,20.3,13.4,,0.4677268475210477,3.8,3.9,5.3,2138.0,Total,78.04,97.6,97.5,0.0,2.5,Pública,Total
